RA[deg]	DEC[deg]	z_low	layer
145.1583	51.3374	0.05	10
149.9865	50.7445	0.05	10
176.4537	50.7445	0.05	10
213.1495	48.5450	0.05	10
225.5919	48.0369	0.05	10
120.9300	47.6028	0.05	10
128.9703	47.4585	0.05	10
196.0560	47.0262	0.05	10
128.6677	46.9543	0.05	10
131.8585	46.5235	0.05	10
158.3007	45.3098	0.05	10
165.5058	44.9547	0.05	10
198.6763	44.6712	0.05	10
236.0469	42.5609	0.05	10
181.3098	41.5157	0.05	10
182.4390	40.8225	0.05	10
228.3225	40.2008	0.05	10
188.6625	39.3753	0.05	10
226.8324	39.1695	0.05	10
197.5007	38.9639	0.05	10
155.0438	38.3485	0.05	10
198.3970	38.0756	0.05	10
169.7745	37.1234	0.05	10
144.4997	35.8384	0.05	10
169.3405	35.7710	0.05	10
147.1800	35.0980	0.05	10
130.2534	35.0308	0.05	10
228.4606	34.8965	0.05	10
130.6635	34.7623	0.05	10
209.6165	33.5579	0.05	10
234.6648	33.4245	0.05	10
140.8887	32.7585	0.05	10
181.3697	32.6920	0.05	10
236.2793	31.8956	0.05	10
197.1564	31.7631	0.05	10
165.3400	30.1787	0.05	10
163.2870	29.7841	0.05	10
151.2807	29.3245	0.05	10
126.4193	29.1278	0.05	10
216.8773	28.8657	0.05	10
187.4147	28.7347	0.05	10
206.3539	28.4730	0.05	10
172.1599	28.3423	0.05	10
221.5555	28.2769	0.05	10
169.2616	27.3634	0.05	10
223.1237	26.5178	0.05	10
239.7955	26.4528	0.05	10
145.4427	26.1283	0.05	10
177.2281	25.8689	0.05	10
147.8170	25.4802	0.05	10
177.7442	25.4155	0.05	10
235.1567	25.0920	0.05	10
159.3034	24.9627	0.05	10
207.3525	24.7689	0.05	10
213.0009	24.7043	0.05	10
182.7506	24.2525	0.05	10
226.7925	24.1235	0.05	10
233.5705	23.4794	0.05	10
161.2829	23.1578	0.05	10
141.0275	22.9007	0.05	10
205.1458	22.7080	0.05	10
176.3377	22.6438	0.05	10
128.4058	20.1484	0.05	10
234.0593	19.7021	0.05	10
208.0026	19.5110	0.05	10
163.2317	19.0018	0.05	10
215.0161	18.9382	0.05	10
169.5412	18.6839	0.05	10
213.1078	18.3662	0.05	10
227.0142	18.3662	0.05	10
188.8087	17.8583	0.05	10
